5/2/2004,DSCC,Vs,LCC,40,Overs,,,,
Ground,Cornerstone Park,,,,,,,,
Toss,DSCC,,,,,,,,
Result,LCC won by 1 wicket,,,,,,,,

DSCC batting statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Mahesh,0,Caught,AJ,Keenan,7,,,,
Srikanth,12,Runout,,,30,,,,
Kannan,5,Caught,Phani,Imran,21,,,,
Venkat,21,Caught,Ramesh,Vamshi,19,,,,
Vamshi,51,Bowled,Phani,,56,,,,
Roby,10,Caught,Keenan,Vamshi,30,,,,
Max,16,Caught,Phani,Ramesh,16,,,,
Jairam,9,Bowled,AJ,,7,,,,
Rahul,0,LBW,Phani,,2,,,,,,,,,
Suresh,0,NOT OUT,,,2,,,,,,,,,
Shoeb,0,LBW,AJ,,2,,,,,,,,,

Totals:,32,Wides,3,Noballs,3,Byes,4,Leg byes,163,Total,10,Wickets,34.5,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
3,21,26,57,104,145,153,154,162,163,,,,,

LCC bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Imran,8,0,0,17,0,2,1,,,,,,,
AJ,5,5,0,21,3,5,1,,,,,,,
Phani,7,0,0,48,4,8,1,,,,,,,
Vamshi,7,0,0,42,2,5,0,,,,,,,
Ajay,2,0,0,9,0,3,0,,,,,,,
Kit,3,0,0,12,0,3,0,,
Keenan,2,0,0,11,1,1,0,,


LCC batting statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Kit,27,bowled,Mahesh,,,,,,
Dharma,18,lbw,suresh,,,,,,
Dan,0,caught,Mahesh,Jairam,,,,,
Vamshi,23,bowled,Vamshi,,,,,,
Ramesh,32,caught,Mahesh,Roby,,,,,
Randika,3,caught,Max ali,Venkat,,,,,
AJ,11,caught,Mahesh,Roby,,,,,
Phani,0,caught,Mahesh,Roby,,,,,
Imran,8,caught,Maxli,Roby,,,,,
Keenan,7,NOT OUT,,,,,,,,,,,,
Ajay,1,NOT OUT,,,,,,,,,,,,

Totals:,29,Wides,0,Noballs,5,Byes,5,Leg byes,164,Total,9,Wickets,36.2,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
47,47,85,94,111,141,141,155,158,,,,,,

DSCC bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,No Balls,Wides,,,,,,,
Suresh,8,0,1,37,1,0,13,,,,,,,
Max,7,0,0,34,2,0,2,,,,,,,
Jairam,8,0,0,27,0,0,8,,,,,,,
Mahesh,8,0,1,29,5,0,1,,,,,,,
Vamshi,4,2,0,26,1,0,1,,,,,,,
Rahul,1,0,0,6,0,0,2,,,,,,,
