7/31/04,RBCC,Vs,OWCC,40,Overs,,,,
Ground,Memorial Park,,,,,,,,
Toss,OWCC,,,,,,,,
Result,OWCC won by 172 runs,,,,,,,,

OWCC batting statistics,,,,,,,,,
Innings start: 10:28,,Innings End: 1:44,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Aravind,2,Run Out,,Hasan,13,,,10:28,10:39
Ashok,39,caught,Saeed,Raihan,37,2,2,10:28,11:29
Robert,28,caught,Sarfaraz,Raihan,65,2,,10:39,12:16
Vicky,59,Bowled,Sarfaraz,,37,5,2,11:33,12:32
Kervyn,14,caught,Naim,Raihan,11,,1,12:17,12:45
Raymond,8,caught,Sarfaraz,Naim,10,,,12:32,12:53
Mike,40,not out,,,31,3,1,12:46,
Abhay,23,Bowled,Hasan,,18,3,,12:53,1:15
Abhijit,19,Bowled,Mushfiq,,11,1,,1:15,1:38,,,,,
Andy,2,Run Out,,,4,,,1:38,1:44,,,,,
Shashi,,,,,,,,,,,,,,
Totals:,24,Wides,3,Noballs,1,Byes,2,Leg byes,264,Total,9,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
13,64,122,157,171,178,208,242,264,,,,,,

RBCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Tanveer,8,0,0,57,0,4,2,,,,,,,
Hasan,8,0,0,31,1,2,0,,,,,,,
Arif,8,0,0,63,0,7,1,,,,,,,
Saeed,5,0,0,38,1,10,0,,,,,,,
Imran,2,0,0,21,0,0,0,,,,,,,
Sarfaraz,6,0,0,30,3,0,0,,,,,,,
Naim,2,0,0,15,1,0,0,,
Mushfiq,1,0,0,6,1,1,,,

RBCC batting statistics,,,,,,,,,
Innings start: 2:22,,Innings End: 5:19,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Arif,3,Caught,Shashi,Aravind,,,,,
Naim,4,Run Out,,Andy/Shashi,,,,,
Madasir,16,Bowled,Abhay,,,,,,
Hasan,0,LBW,Shashi,,,,,,
Imran,3,Caught,Kervyn,Abhijit,,,,,
Sarfaraz,0,LBW,Kervyn,,,,,,
Asif,6,Caught,Shashi,Abhijit,,,,,
Tanveer,9,Bowled,Ashok,,,,,,
Saeed,17,Run Out,,Mike,,1,,,
Musfiq,0,Bowled,Ashok,,,,,,
Raihan,1,,,,,,,,,,,,,
Totals:,28,Wides,4,Noballs,,Byes,1,Leg byes,92,Total,10,Wickets,36.2,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
11,11,26,26,44,53,74,80,90,92,,,,,

OWCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Mike,6,0,2,10,0,3,0,,,,,,,
Kervyn,5,0,1,9,2,4,0,,,,,,,
Shashi,6,0,3,10,3,2,0,,,,,,,
Ashok,4,2,0,24,2,15,0,,,,,,,
Raymond,4,0,3,4,0,1,0,,,,,,,
Andy,4,0,0,10,0,0,0,,,,,,,
Abhijit,3,0,0,15,0,2,0,,,,,,,
Abhay,3,0,0,7,1,1,0
Aravind,1,0,0,2,0,0,0
