8/15/2004,LCC,Vs,CSUCC,40,Overs,,
Ground,Boltz,,,,,,
Toss,LCC,,,,,,
Result,CSUCC won by 6 wickets,,,,,,
Man Of The Match,Aravind,,,,,,

LCC batting statistics,,,,,,,
Innings start:,10:10,Innings End:,12:15,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes
Dharma,3,Caught,Kishor,Vaibhav M,9,0,0
Prakash,4,Bowled,Vaibhav M,,9,0,0
Aasome,9,Bowled,Vaibhav M,,16,0,0
Randhika,2,Lbw,Kishor,,8,0,0
Dan,16,Caught,Yogish,Jay,26,1,0
Imran,10,Caught,Aravind,Kishor,14,1,0
Vamshi,23,Lbw,Vaibhav M,,27,2,0
AJ,11,Bowled,Aravind,,32,1,0,,,,,,,
Keenan,2,Bowled,Yogish,,8,0,0,,,,,,,
Ajay,2,Notout,,,3,0,0,,,,,,,
Mujtaba,3,Bowled,Aravind,,9,0,0,,,,,,,
 , , , , ,,,, , ,,,,,
Totals:,11,Wides,0,Noballs,0,Byes,1,Leg byes,91,Total,10,Wickets,26,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
5,9,17,19,31,42,81,85,85,91,,,,,

CSUCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Vaibhav M,7,0,0,15,3,2,0,,,,,,,
Kishor,5,0,0,16,2,0,0,,,,,,,
Yogish,6,0,1,19,2,4,0,,,,,,,
Aravind,7,0,1,36,3,5,0,,,,,,,
Jay,1,0,0,4,0,0,0,,,,,,,

CSUCC batting statistics,,,,,,,,,,,,,,
Innings start:,12:35,Innings End:,3:00,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,,,,,,,
Aravind,41,Caught,Mujtaba,Ajay,45,6,0,,,,,,,
Vaibhav M,20,Bowled,Ajay,,73,0,0,,,,,,,
Yogish,0,Caught,Mujtaba,AJ,16,0,0,,,,,,,
Kishor,3,Bowled,Mujtaba,,8,0,0,,,,,,,
Saravana,0,Notout,,,9,0,0,,,,,,,
Animesh,0,Notout,,,3,0,0,,,,,,,

Totals:,26,Wides,4,Noballs,0,Byes,0,Leg byes,92,Total,4,Wickets,27.5,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,,,,
74,82,88,88,,,,

LCC Bowling statistics,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Imran,8,0,1,23,0,8,2
AJ,4,0,0,19,0,1,0
Ajay,4,0,1,19,1,8,0
Mujtaba,7,5,2,16,3,7,2
Dharma,3,0,0,15,0,2,0
