8/21/2004,RBCC,Vs,DSCC,32,Overs,,,,,,,,,
Ground,Louisville,,,,,,,,,,,,,
Toss,DSCC,,,,,,,,,,,,,
Result,DSCC won by 223 runs,,,,,,,,,,,,,
Man Of The Match,Mahesh Sampath,,,,,,,,,,,,,

DSCC batting statistics,,,,,,,,,,,,,,
Innings start:11:30 AM,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Rahul,20,Caught,Naim,Habib,28,1,,,,,,,,
Pratheesh,57,Bowled,Naim,,38,5,1,,,,,,,
Mahesh,115,Not Out,,,67,13,3,,,,,,,
Vamshi,105,Not Out,,,54,7,6,,,,,,,
,,,,,, , ,,,,,,,
Totals:,29,Wides,1,Noballs,8,Byes,2,Leg byes,326,Total,2,Wickets,32,Overs

Fall of wickets,,,,,,,,,
1,2,3,4,5,6,7,8,9,10
5,23,41,41,45,51,121,121,126,128

RBCC Bowling statistics,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,
Tanveer,6,,0,57,0,1,1,,
Hasan,7, ,0,71,0,4,0,,
Arif,7, ,0,34,0,3,0,,
Sarfaraz,4,,0,58,0,1,0,,
Naim,5,,0,53,2,4,0,,
Imran,2,,0,27,0,1,0,,
Mudassar,1,,0,19,0,1,0,,

RBCC batting statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,,,,,,,
Arif,1,Bowled,Pratheesh,,7,,,Time in,Time out,,,,,
Imran,10,Bowled,Pratheesh, ,17,1,,,,,,,,
Mudassar,3,caught,Imran,Mahesh,9,,,,,,,,,
Hasan,23,LBW,Rajesh, ,39,4,,,,,,,,
Naim,3,caught,Imran,Pratheesh,5, , ,,,,,,,
Asif,0,caught,Imran,Rahul,9,, ,,,,,,,
Sarfaraz,3,caught,Rajesh,Max Ali,15,,,,,,,,,
Saif,27,caught,Ajay,Gokul,25,4,,,,,,,,
Tanveer,4,caught,Rajesh,Mahesh,3, ,,,,,,,,
Habib,6,caught,Ajay,Mahesh,6,1,,,,,,,,
Raihan,1,not out, , ,10,,,,,,,,,
Totals:,22,Wides,0,Noballs,0,Byes,0,Leg byes,103,Total,10,Wickets,25,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
10,17,24,26,29,55,71,76,92,103
,,,,,,,, , 
DSCC Bowling statistics,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,
Imran,5,0,1,12,3,0,0,,
Pratheesh,4,0,0,16,2,0,0,,
Balaji,3,0,0,16,0,0,0,,
Rajesh,6,0,1,35,3,0,0,,
Ajay,5,0,0,23,2,0,0,,
Gokul,1,0,2,0,0,0,0,,
Rajesh,1,0,0,6,0,0,0,,
