5/16/2004,RMFCC,Vs,CSUCC,40,Overs,,,,
Ground,Cottonwood Park,,,,,,,,
Toss,CSUCC,,,,,,,,
Result,CSUCC won by 72 runs,,,,,,,,

CSUCC batting statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Aravind,33,lbw,Mahesh,,,,,,
Phani,10,caught,Muj,Neil,,,,,
Nitin,13,runout,,Charles,,,,,
Prashant,4,bowled,Charles,,,,,,
Ajay,22,caught,Russell,Matt,,,,,
Ninad,3,bowled,Charles,,,,,,
Sarvanavi,0,bowled,Charles,,,,,,
Yogish,24,bowled,Muj,,,,,,
Sarvana,0,lbw,Muj,,,,,,,,,,,
Satish,2,runout,,Muj,,,,,,,,,,
Prakash,0,not out,,,,,,,,,,,,
Totals:,38,Wides,7,Noballs,3,Byes,2,Leg byes,161,Total,10,Wickets,39.4,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,


RMFCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Matt R,8,0,0,40,0,,,,,,,,,
Muj,7,4,0,21,3,,,,,,,,,
Mahesh,7,0,0,33,1,,,,,,,,,
Charles,8,0,1,26,3,,,,,,,,,
Puneet,5,0,0,22,0,,,,,,,,,
Russell,4,0,0,15,1,,,,,,,,,


RMFCC batting statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Mahesh,7,bowled,Yogish,,,,,,
Puneet,3,bowled,Yogish,,,,,,
Muj,0,lbw,Yogish,,,,,,
Kevin,14,caught,Aravind,Satish,,,,,
Matt R,0,bowled,Yogish,,,,,,
Charles,44,caught,Ajay,Nitin,,,,,
Neil,3,caught,Phani,Ajay,,,,,
Gareth,3,caught,Phani,Ninad,,,,,
Russell,0,caught,Phani,Nitin,,,,,
Amar,1,notout,,,,,,,

Totals:,19,Wides,0,Noballs,1,Byes,0,Leg byes,89,Total,9,Wickets,17.4,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
13,13,15,30,49,63,81,85,89,,,,,,

CSUCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Yogish,5,0,3,9,4,,,,,,,,,
Ninad,3,0,0,9,0,,,,,,,,,
Aravind,2,0,0,31,0,,,,,,,,,
Phani,4,0,0,23,3,,,,,,,,,
Saravanan,3,0,0,17,0,,,,,,,,,
Ajay,0,4,0,2,1,,,,,,,,,
