5/16/2004,FCCC,Vs,LCC,40,Overs,,,,
Ground,Cornerstone Park,,,,,,,,
Toss,FCCC,,,,,,,,
Result,FCCC won by 6 wickets,,,,,,,,

LCC Batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Kit,5,caught,Nadeem,Ravi,6,,,,
Dharma,16,Bowled,Gopal,,58,,,,
Randika,14,caught,Nadeem,Ravi,18,2,,,
Vamshi,0,caught,Mike Riley,Nadeem,4,,,,
Imran,1,Bowled,Rajesh,,6,,,,
AJ,16,caught,Pavan,Ganesh,33,1,,,
Ajay,13,Bowled,Mike Riley,,46,,,,
Phani,8,LBW,Mike King,,11,1,,,
Keenan,0,caught,Rajesh,Ganesh,2,,,,,,,,,
Rama,7,Not Out,,,19,,,,,,,,,
Mohan,1,Bowled,Mike Riley,,12,,,,,,,,,
Totals:,19,Wides,7,Noballs,1,Byes,3,Leg byes,111,Total,10,Wickets,35.5,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
11,28,28,41,61,68,87,89,108,111,,,,,

FCCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Nadeem,8,0,1,34,2,4,4,,,,,,,
Mike Riley,7,5,2,16,3,2,0,,,,,,,
Rajesh,6,0,1,14,2,3,0,,,,,,,
Pavan,7,0,1,16,1,3,2,,,,,,,
Gopal,4,0,0,14,1,3,1,,,,,,,
Mike King,3,0,0,13,1,4,0,,,,,,,


FCCC Batting Statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Ravi Sajjan,51,not out,,,64,1,4,,,,,,,
Nadeem,6,caught,AJ,Randika,12,,,,,,,,,
Gopal,4,caught,AJ,Randika,14,,,,,,,,,
Anant,2,Bowled,Vamshi,,9,,,,,,,,,
Chuck,7,Bowled,Kit,,19,,,,,,,,,
Mike Riley,16,not out,,,21,2,,,,,,,,
Totals:,20,Wides,6,Noballs,1,Byes,0,Leg byes,113,Total,4,Wickets,22.4,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,,,,,,,,,,,
11,22,52,76,,,,,,,,,,,

LCC Bowling Statistics,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Imran,6,4,0,28,0,5,0
AJ,5,0,0,11,2,1,0
Ajay,3,0,0,28,0,6,5
Phani,3,0,1,15,0,2,0
Vamshi,2,0,0,10,1,3,1
Kit,3,0,0,20,1,0,0
