6/27/04,RBCC,Vs,LCC,40,Overs,,,,
Ground,CornerStone Park,,,,,,,,
Toss,LCC,,,,,,,,
Result,LCC won by 9 wickets,,,,,,,,

RBCC batting statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Naim,1,Bobled,AJ,,,,,,
Syed Jr.,1,Bowled,Ajay,,,,,,
Arif,0,caught,AJ,,,,,,
Hasan,0,LBW,Phani,,,,,,
Alam,2,Bowled,Ajay,,,,,,
Saif,0,Bowled,Ajay,,,,,,
Syed Sr.,0,Run out,,,,,,,
Sarfaraz,3,caught,Kit,,,,,,
Tanvir,0,Run out,,,,,,,,,,,,
Raihan,0,not out,,,,,,,,,,,,
Mushfiq,3,Bowled,Imran,,,,,,,,,,,
Totals:,39,Wides,2,Noballs,1,Byes,1,Leg byes,53,Total,10,Wickets,29.2,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
14,14,14,22,24,27,33,35,47,53,,,,,

LCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Imran,3,2,0,12,1,8,0,,,,,,,
AJ,5,0,0,4,2,3,0,,,,,,,
Ajay,5,0,2,4,3,4,0,,,,,,,
Srini,2,0,0,4,0,2,2,,,,,,,
Vamshi,3,0,0,7,0,6,0,,,,,,,
Phani,3,0,0,4,1,4,0,,,,,,,
Kit,4,0,1,3,1,1,0,,,,,,,
Keenan,1,0,0,7,0,6,0,,,,,,,
Dharma,2,0,0,7,0,5,0,,,,,,,

LCC batting statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Dharma,2,caught,Hasan,,,,,,,,,,,
Phani,24,not out,,,,1,1,,,,,,,
Kit,19,not out,,,,1,1,,,,,,,
Totals:,7,Wides,1,Noballs,1,Byes,0,Leg byes,54,Total,1,Wickets,7.3,Overs

Fall of wickets,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,

RBCC Bowling statistics,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Tanvir,3,3,0,25,0,4,1
Hasan,2,0,0,16,1,3,0
Arif,1,0,0,12,0,0,0
