07/11/2004,"LCC","Vs","Green",40,"Overs",,,,,,,,,
"Ground","Cornerstone Park",,,,,,,,,,,,,
"Toss","Green",,,,,,,,,,,,,
"Result","LCC won by 2 runs",,,,,,,,,,,,,
,,,,,,,,,,,,,,
"LCC batting statistics",,,,,,,,,,,,,,
"Innings start:",,"Innings End:",,,,,,,,,,,,
"Name","Runs","How out","Bowler","Assist","Balls","Fours ","Sixes","Time in","Time out",,,,,
"Dharma",2,"caught","Sameer","Alisdair",9,,,,,,,,,
"Prakash",16,"bowled","Niranjan",,16,,,,,,,,,
"Phani",1,"caught","Sameer","Ram",7,,,,,,,,,
"Randika",1,"caught","Niranjan","Gauri",5,,,,,,,,,
"AJ",18,"caught","Niranjan","Anand",45,,,,,,,,,
"Vamshi",17,"bowled","Ram",,35,,,,,,,,,
"Kit",51,"LBW","Sameer",,40,,,,,,,,,
"Dan",4,"caught","Sameer","Niranjan",27,,,,,,,,,
"Mujtaba",0,"LBW","Sameer",,1,,,,,,,,,
"Dinesh",2,"not out",,,11,,,,,,,,,
"Ajay",1,"bowled","Sameer",,8,,,,,,,,,
"Totals:",38,"Wides",2,"Noballs",1,"Byes",0,"Leg byes",158,"Total",10,"Wickets",35.4,"Overs"
"Fall of wickets",,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
12,28,31,32,84,117,148,149,156,158,,,,,
,,,,,,,,,,,,,,
"Green Bowling statistics",,,,,,,,,,,,,,
"Name","Overs","Partover","Maidens","Runs","Wickets","Wides","Noballs",,,,,,,
"Sameer",7,4,0,26,6,10,0,,,,,,,
"Niranjan",8,0,0,31,3,5,1,,,,,,,
"Ram",7,0,0,38,1,8,0,,,,,,,
"Raghavendra",4,0,0,20,0,4,1,,,,,,,
"Alisdair",1,0,0,10,0,3,0,,,,,,,
"Krishna",6,0,0,30,0,8,0,,,,,,,
"Shashank",2,0,1,2,0,0,0,,,,,,,
,,,,,,,,,,,,,,
"Green batting statistics",,,,,,,,,,,,,,
"Innings start:",,"Innings End:",,,,,,,,,,,,
"Name","Runs","How out","Bowler","Assist","Balls","Fours ","Sixes","Time in","Time out",,,,,
"Gauri",33,"bowled","Kit",,87,,,,,,,,,
"Sameer",4,"LBW","Phani",,13,,,,,,,,,
"Rajesh",19,"caught","Kit","Randika",29,,,,,,,,,
"Krishna",38,"caught","Mujtaba","Randika",62,,,,,,,,,
"Alisdair",2,"caught","Mujtaba","Srini",16,,,,,,,,,
"Anand",11,"Run out",,,18,,,,,,,,,
"Shashank",4,"Run out",,,2,,,,,,,,,
"Venu",0,"Run out",,,2,,,,,,,,,
"Niranjan",0,"Run out",,,1,,,,,,,,,
"Raghavendra",0,"not out",,,2,,,,,,,,,
"Ram",0,"Run out",,,1,,,,,,,,,
"Totals:",39,"Wides",3,"Noballs",0,"Byes",2,"Leg byes",156,"Total",10,"Wickets",40,"Overs"
,,,,,,,,,,,,,,
"Fall of wickets",,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
17,63,112,132,140,146,151,153,154,156,,,,,
,,,,,,,,,,,,,,
"LCC bowling statistics",,,,,,,,,,,,,,
"Name","Overs","Partover","Maidens","Runs","Wickets","Wides","Noballs",,,,,,,
"AJ",7,0,0,25,0,,,,,,,,,
"Mujtaba",8,0,0,37,2,,,,,,,,,
"Phani",6,0,0,27,1,,,,,,,,,
"Ajay",7,0,1,20,0,,,,,,,,,
"Dharma",3,0,0,9,0,,,,,,,,,
"Kit",8,0,0,26,2,,,,,,,,,
"Vamshi",1,0,0,8,0,,,,,,,,,
