6/12/2004,CCCC-Gold,Vs,CSUCC,40,Overs,,,,
Ground,CSU,,,,,,,,
Toss,CSUCC,,,,,,,,
Result,Gold won by 1 WKT,,,,,,,,

CSUCC batting statistics,,,,,,,,,
Innings start:,10:15,Innings End:,1:55,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Arvind,11,caught,Govind,Shaukat,,1,,10:15,10:46
Phani,11,caught,Swadeep,Shaukat,,,,10:46,12:05
Prasana,0,LBW,Raghu G,,, ,,10:55,11:26
Vaibhav,2,caught,Shaukat,Pradeep,,,,11:28,12:20
Nitin,15,LBW,Swadeep,,, , ,12:05,12:25
Yogesh,2,Stumped,Swadeep,Pradeep,, ,,12:20,12:39
Priyank,4,caught,Swadeep,Solanki,,,,12:25,
Ninad,24,Not Out,,,,2,,12:39,12:53
Sarvanath,3,Stumped,Swadeep,Pradeep,, ,,12:53,1:00,,,,,
Satish,1,Run Out,,Sam/Solanki,,,,1:00,1:05,,,,,
 , , , , ,,,, , ,,,,,
Totals:,25,Wides,2,Noballs,1,Byes,2,Leg byes,103,Total,9,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
18,20,26,55,63,65,72,95,103, ,,,,,

GOLD Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Govind,8,0,4,9,1,2,0,,,,,,,
Raghu G,6,0,1,14,1,5,0,,,,,,,
Solanki,7,0,1,15,1,1,2,,,,,,,
Shaukat,3,0,0,11,1,6,0,,,,,,,
Sam,8,0,0,26,0,6,0,,,,,,,
Swadeep,8,0,1,24,5,5,0,,,,,,,
 , , , ,, , , ,,

GOLD batting statistics,,,,,,,,,
Innings start:3:00,,Innings End:,5:05,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Raghu B,3,caught,Nitin,Keeper,, ,,2:25,2:50
Pradeep,7,caught,Yogesh,Keeper,,,,2:25,2:44
Mosur,6,caught,Arvind,Arvind,,,,2:44,3:00
Swadeep,2,caught,Nitin,Keeper,, ,,2:50,4:15
Shaukat,0,Bowled,Arvind,,,,,3:00,4:17
Govind,0,LBW,Arvind,,,,,4:15,4:55
Arvind,19,LBW,Yogesh,,,1,,4:17,5:15
Solanki,5,Run Out,,,,,,4:55,5:16
Vinay,2,Bowled,Vaibhav,,,,,5:15,5:40
Sam,16,Not Out,,,,1,1,5:16,
Raghu G,2,Not Out,,,,,,5:40,
Totals:,35,Wides,6,Noballs,0,Byes,1,Leg byes,105,Total,9,Wickets,38.5,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
14,14,18,27,28,53,70,70,82,,,,,,

CSUCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Nitin,8,0,2,14,2,4,0,,,,,,,
Yogesh,7,2,1,21,3,13,2,,,,,,,
Arvind,7,4,1,17,3,6,0,,,,,,,
Phani,8,0,0,36,0,7,3,,,,,,,
Vaibhav,2,0,0,6,1,5,0,,,,,,,
Ninad,1,0,0,9,0,2,1,,,,,,,
