6/20/2004,RBCC,Vs,CCCC-Green,35,Overs,,,,
Ground, Louisville Rec ,,,,,,,,
Toss,RBCC,,,,,,,,
Result,CCCC-Green won by 122 runs,,,,,,,,

CCCC- Green  batting statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Sameer,71,caught,Wasi ,Mushfiq,,8,2,,
Gauri,6,LBW,Hasan,,,,,,
Keyur,28,caught,Sarfaraz,Syed,,2,,,
Anand,32,caught,Tanvir,Syed,,3,1,,
Alisdair,17,caught,Hasan,Sarfaraz,,1,,,
Rajesh,12,caught,Hasan,Asif,,1,,,
Krishna,6,Run out,,,,,,,
Vineet,1,Run out,,,,,,,
Raghavendra,0,not out,,,,,,,,,,,,
Totals:,41,Wides,0,Noballs,22,Byes,0,Leg byes,236,Total,8,Wickets,35,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,
27,119,161,204,225,232,235,236,,,,,,,

RBCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Tanvir,7,0,0,24,1,6,0,,,,,,,
Hasan,7,0,0,49,3,9,0,,,,,,,
Arif,7,0,0,25,0,6,0,,,,,,,
Saif,3,0,0,19,0,3,0,,,,,,,
Wasi,3,0,0,36,1,9,0,,,,,,,
Sarfaraz,4,0,0,29,1,1,0,,,,,,,
Syed,4,0,0,31,0,7,0,,,,,,,

RBCC batting statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Naim,0,Bowled,Sameer,,,,,,,,,,,
Syed,4,caught,Niranjan,Krishna,,,,,,,,,,
Arif,0,LBW,Sameer,,,,,,,,,,,
Hasan,15,caught,Raghavendra,Niranjan,,1,,,,,,,,
Sarfaraz,0,Bowled,Niranjan,,,,,,,,,,,
Wasi,14,Bowled,Krishna,,,2,,,,,,,,
Saif,6,Bowled,Raghavendra,,,,,,,,,,,
Tanvir,11,caught,Krishna,Rajesh,,,,,,,,,,
Asif,30,not out,,,,2,,,,,,,,
Muktadir,0,caught,Keyur,Rajesh,,,,,,,,,,
mushfiq,0,Bowled,Keyur,,,,,,,,,,,
Totals:,29,Wides,2,Noballs,3,Byes,0,Leg byes,114,Total,10,Wickets,29.5,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10
0,2,18,18,48,55,69,86,88,114

CCCC-Green Bowling statistics,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,
Sameer,3,0,0,10,2,3,0,,
Niranjan,3,0,0,8,2,2,1,,
Raghavendra,7,0,2,9,2,3,0,,
Vineet,4,0,0,29,0,8,1,,
Rajesh,7,0,0,24,0,8,0,,
Krishna,3,0,0,18,2,2,0,,
Keyur,2,5,0,13,2,3,0,,
