9/11/2004,CCCC-Gold,Vs,RBCC,40,Overs,,,,
Ground,Louisville,,,,,,,,
Toss,CCCC-Gold ,,,,,,,,
Result,CCCC-Gold won by 188 runs,,,,,,,,
Men Of The Match,Rajesh Mosur and Rajesh Solanki,,,,,,,,

CCCC-Gold batting statistics,,,,,,,,,
Innings start:10:25,,Innings End:,13:45,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Pradeep,85,Bowled,Sarfaraz, ,59,10,1,,
Mosur,102,Retd, , ,90,10,1,,
Solanki,13,Caught,Sarfaraz,Sarfaraz,13,1,,,
Shaukat,16,Bowled,Arif, ,15,2,,,
Arvind,24,Bowled,Amir, ,26,3, ,,
Vinod,27,Not Out, , ,13,3, ,,
Sam,35,Bowled,Hassan,,17,3,2,,
Swadeep,10,Not Out, , ,4,2,,,,,,,,
Rohit, ,DNB,,,,,,,,,,,,
Owais, ,DNB, ,,,,,,,,,,,
Raghu G, ,DNB, ,,,,,,,,,,,
Totals:,23,Wides,3,Noballs,6,Byes,5,Leg byes,356,Total,5,Wickets,40,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
139,169,209,272,346, , , , , ,,,,,

RBCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Hassan,8,0,0,69,1,8,0,,,,,,,
Arif,8,0,0,45,1,2,0,,,,,,,
Aamir,8,0,0,90,1,8,1,,,,,,,
Sarfaraz,8,0,0,66,2,3,0,,,,,,,
Tomal,1,0,0,8,0,1,0,,
Naim,2,0,0,16,0,0,0,,
Saif,5,0,0,51,0,1,2,,

RBCC batting statistics,,,,,,,,,
Innings start:,10:15,Innings End:,1:55,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Imran,23,Caught,Rohit,Raghu G,,,,,
Syed,13,Stumped ,Raghu G,Arvind,,,,,
Aamer,45,Bowled,Owais, ,,,,,
Rizwan,1,Bowled,Solanki, ,,,,,
Omar,19,Stumped ,Solanki,Pradeep,, , ,,
Sarfaraz,15,Caught,Raghu G,Solanki,, , ,,
Hasan,0,LBW,Solanki,,,,,,
Saif,0,LBW,Solanki,,,,,,
Naim,7,Caught,Rohit,Solanki,, ,,,
Arif,4,Not Out,,,,,,,,,,,,
Raihan,0,bowled,Raghu G,,,,, , ,,,,,
Totals:, ,Wides, ,Noballs, ,Byes, ,Leg byes,166,Total,10,Wickets,29.4,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
29,54,95,99,123,123,123,147,166,166,,,,,

GOLD Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Rohit,8,0,0,58,2,7,1,,,,,,,
Raghu G,4,4,0,31,3,5,2,,,,,,,
Owais,5,0,0,16,1,3,0,,,,,,,
Solanki,5,0,1,11,4,0,0,,,,,,,
Shaukat,3,0,0,24,0,5,1,,,,,,,
Sam,4,0,0,7,0,1,0,,,,,,,
