9/12/04,LCC,Vs,OWCC,40,Overs,,,,
Ground,Cornerstone Park,,,,,,,,
Toss,OWCC,,,,,,,,
Result,One World won by 84 runs,,,,,,,,

OWCC batting statistics,,,,,,,,,

Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
A Giri,6,Run Out,,Randika,46,,,,
A Lakshmanan,11,Caught,AJ,Aasom,23,1,,,
M Patel,0,Caught,Keenan,Dharma,5,,,,
R Lezama,24,Caught,Dharma,Dharma,22,3,1,,
K Dimney,0,Caught,Mujataba,Vamshi,4,,,,
R Mascarenhas,34,Caught,Dharma,Vamshi,68,1,1,,
V Chugh,1,Caught,Ajay,AJ,4,,,,
R Patel,14,LBW,Dharma,,17,1,,,
M Doig,11,Caught,Dharma,Imran,17,,1,,,,,,,,
A Natu,6,not out,,,5,1,,,,,,,,,
J Patel,1,Caught,Imran,Dharam,4,,,,,,,,,,
Totals:,58,Wides,0,Noballs,1,Byes,0,Leg byes,167,Total,10,Wickets,38.1,Overs,38.1

Fall of wickets,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,,
26,26,41,67,67,71,97,128,164,167,,,,,,

LCC Bowling statistics,,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,,
Imran,6.1,0,0,36,2,,,,,,,,,,
AJ,8,0,2,36,2,,,,,,,,,,
Ajay,8,0,2,19,1,,,,,,,,,,
Mujtaba,4,0,0,25,2,,,,,,,,,,
Dharma,8,0,0,32,3,,,,,,,,,,
Keenan,2,0,0,6,1,,,,
Vamshi,2,0,0,16,0,,,,
LCC batting statistics,,,,,,,,,

Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Prakash,13,Bowled,M Doig,,,,,,
Mujtaba,2,Caught,M Doig,M Doig,,,,,
Vamshi,11,Caught,R Patel,M Doig,,,,,
Dharma,3,Run Out,,,,,,,
AJ,4,LBW,A Lakshmanan,,,,,,
Imran,32,Bowled,R Patel,,,,,,
Keenan,0,Bowled,K Dimney,,,,,,
Ajay,3,Not out,,,,,,,
Dharam,1,Caught,R Lezama,R Lezama,,,,,
Randika,,,,,,,,,
Aasome,,,,,,,,,
Totals:,13,Wides,1,Noballs,0,Byes,0,Leg byes,83,Total,8,Wickets,19,Overs,19
Fall of wickets,,,,,,,,,,,,,,,
1,2,3,,,,,,,,,,,,,
6,26,35,,,,,,,,,,,,,

OWCC Bowling statistics,,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,,
M Doig,5,0,1,30,2,,,,,,,,,,
R Patel,6,0,0,28,2,,,,,,,,,,
A Lakshmanan,3,0,0,9,1,,,,,,,,,,
K Dimney,3,0,0,6,1,,,,,,,,,,
R Lezama,2,0,0,4,1,,,,,,,,,,
